date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:26	10798/10798	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Oct%202023%2005:54:01%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/Ellipse_65_f608bc10-0768-4a1b-bba1-431611b8b0bd.png?v=1684232860	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/Ellipse_65_f608bc10-0768-4a1b-bba1-431611b8b0bd233f.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:27	280529/280529	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Oct%202023%2017:50:23%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/doctorly-thumbnail-01.png?v=1684233142	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/doctorly-thumbnail-0105dd.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:27	90115/90115	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Oct%202023%2012:42:40%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/doctorlyYT-Thumbnail-Doctorly_2.png?v=1684240770	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/doctorlyYT-Thumbnail-Doctorly_2afba.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:27	253866/253866	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Oct%202023%2014:35:41%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/Mask_Group_3_b600ea99-8183-4481-8247-2f5746d9f238.png?v=1684241520	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/Mask_Group_3_b600ea99-8183-4481-8247-2f5746d9f238baa7.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:28	90382/90382	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Oct%202023%2023:41:01%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/Mask_Group_4_08156cb6-4fa4-4af4-85e0-5811f00f8881.png?v=1684241520	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/Mask_Group_4_08156cb6-4fa4-4af4-85e0-5811f00f8881baa7.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:29	428244/428244	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Oct%202023%2012:49:28%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/image_14_a9293908-d280-42f0-a532-db048dcd26fe.png?v=1684241520	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/image_14_a9293908-d280-42f0-a532-db048dcd26febaa7.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:29	260329/260329	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Oct%202023%2023:41:56%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/serum_b9626cec-ca60-440d-8f2e-60839786e3e5.png?v=1684300506	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/serum_b9626cec-ca60-440d-8f2e-60839786e3e54d58.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:30	109564/109564	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Oct%202023%2012:42:42%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/led-thumbnail-01.png?v=1684230144	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/led-thumbnail-01002e.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:30	408343/408343	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Oct%202023%2011:04:34%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/mi.png?v=1684303524	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/mi590f.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:30	1275902/1275902	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Oct%202023%2012:40:18%20GMT	https://www.qureskincare.com/cdn/shop/files/led-mask-comparison.png?v=1684309599	E:/AWS/Qure/www.qureskincare.com/cdn/shop/files/led-mask-comparison18c1.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:31	503175/503175	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Oct%202023%2023:58:07%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/bright-01.png?v=1684307757	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/bright-010d19.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:31	1173615/1173615	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Oct%202023%2021:44:16%20GMT	https://www.qureskincare.com/cdn/shop/files/derm-clinic-comparison.png?v=1684309649	E:/AWS/Qure/www.qureskincare.com/cdn/shop/files/derm-clinic-comparisond178.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:32	2107933/2107933	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Oct%202023%2015:11:59%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/bright-02.png?v=1684307759	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/bright-0282ac.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:32	1622046/1622046	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Oct%202023%2009:40:26%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/bright-03.png?v=1684307758	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/bright-037698.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:32	1552633/1552633	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Oct%202023%2012:40:17%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/bright-04.png?v=1684307758	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/bright-047698.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:32	2025/2025	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Oct%202023%2012:40:35%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/instagram_89ddbc5e-6c38-411f-8168-6a07aa0efc6b.png?v=1628169640	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/instagram_89ddbc5e-6c38-411f-8168-6a07aa0efc6b654f.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:32	1266/1266	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Oct%202023%2015:42:46%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/facebook_ae821d9f-bdff-4787-9128-e826431620da.png?v=1628169855	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/facebook_ae821d9f-bdff-4787-9128-e826431620da30b7.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:33	695/695	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Oct%202023%2003:16:53%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/Group_2001.png?v=1684317225	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/Group_2001a689.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:33	834/834	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Oct%202023%2000:30:36%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/Youtube_baa6b9a9-e25c-4c3d-98cb-b3ed3022ba8e.png?v=1621934349	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/Youtube_baa6b9a9-e25c-4c3d-98cb-b3ed3022ba8ebceb.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:33	1407/1407	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Oct%202023%2007:17:16%20GMT	https://www.qureskincare.com/cdn/shop/files/Qure-Footer-Logo.png?v=1622790402	E:/AWS/Qure/www.qureskincare.com/cdn/shop/files/Qure-Footer-Logo0358.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:34	27242/27242	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Oct%202023%2012:49:33%20GMT	https://qureskincaredns.com/pages/return-policy	E:/AWS/Qure/qureskincaredns.com/pages/return-policy.67.delayed	(from https://qureskincaredns.com/live-homepage.html)
18:19:34	27242/27242	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Oct%202023%2012:49:34%20GMT	https://qureskincaredns.com/pages/affiliate-page	E:/AWS/Qure/qureskincaredns.com/pages/affiliate-page	(from https://qureskincaredns.com/live-homepage.html)
18:19:35	27242/27242	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Oct%202023%2012:49:34%20GMT	https://qureskincaredns.com/pages/become-stockist	E:/AWS/Qure/qureskincaredns.com/pages/become-stockist	(from https://qureskincaredns.com/live-homepage.html)
